Date,Open,High,Low,Close,Adj Close,Volume
16/10/2024,269,272.89,269,270.95,270.95,797236
15/10/2024,267.77,269.07,265.64,265.92,265.92,1362700
14/10/2024,264.34,267.9,263.95,267.45,267.45,922300
11/10/2024,265.35,267.18,264.17,264.36,264.36,965700
10/10/2024,263.35,265.98,263.2,264.27,264.27,872800
9/10/2024,263.53,267.09,262.74,264.64,264.64,1308300
8/10/2024,260.94,262.3,259.36,261.4,261.4,1073100
7/10/2024,259.38,261.21,258.1,260.5,260.5,1342300
4/10/2024,264.8,265.03,259.27,260.84,260.84,1637300
3/10/2024,266,266.24,261.37,262.08,262.08,1733100
2/10/2024,268.93,269.52,266.36,266.93,266.93,1406400
1/10/2024,273.86,275.32,268,269.56,269.56,1703800
30/9/2024,269.62,276.75,269.06,273.68,273.68,2906100
27/9/2024,267.1,270.48,266.5,267.55,267.55,1819200
26/9/2024,267.09,270.99,265.21,266.33,266.33,1862400
25/9/2024,266.01,267.77,262.85,263.77,263.77,2593700
24/9/2024,259.12,268.33,259.12,267.13,267.13,4109000
23/9/2024,255.51,260.73,255.5,258.79,258.79,3730600
20/9/2024,260.77,262.56,253.5,254.64,254.64,17455500
19/9/2024,304.13,308,297.87,300.39,300.39,4220500
18/9/2024,295.52,301.01,295.52,298.17,298.17,1373500
17/9/2024,296,300.45,294.7,297.34,297.34,1331300
16/9/2024,289.74,293.81,288.35,292.63,292.63,1141500
13/9/2024,287.57,287.57,280.87,286.38,286.38,1142600
12/9/2024,285.67,288.31,284.33,286,286,862200
11/9/2024,282.66,285.37,277.89,284.86,284.86,937700
10/9/2024,283.92,284.82,280.08,283.85,283.85,940100
9/9/2024,283.5,286.18,282.93,283.3,283.3,880000
6/9/2024,285.38,288.01,282.65,283.04,281.66,1117400
5/9/2024,293.46,293.95,283.75,285.31,283.92,1318000
4/9/2024,293.91,295.36,292,292.84,291.41,719000
3/9/2024,296.06,297.16,291.56,293.48,292.05,1138800
30/8/2024,297.09,299.1,294.71,298.77,297.31,1096900
29/8/2024,297.75,299.19,295.46,296.25,294.81,730000
28/8/2024,294.91,297.58,294.2,296.13,294.69,712200
27/8/2024,297.23,297.64,292.73,294.9,293.46,828600
26/8/2024,298.57,299.31,295.75,297.24,295.79,771600
23/8/2024,295.91,298.57,294.84,297.18,295.73,865600
22/8/2024,292.6,294.63,290.67,294.28,292.85,980000
21/8/2024,290.76,292.63,289.29,291.52,290.1,787200
20/8/2024,287.99,289,286.46,288.44,287.03,591700
19/8/2024,285.88,288.87,285.52,288.42,287.01,804100
16/8/2024,284,285.55,279.15,285.4,284.01,1318300
15/8/2024,287.3,291.7,282.64,284.18,282.79,1292900
14/8/2024,283.31,285.03,282.82,283.33,281.95,768200
13/8/2024,280.23,283.39,279.2,283.1,281.72,1232000
12/8/2024,279.21,281.41,277.49,279.15,277.79,1247200
9/8/2024,277.44,277.97,274.15,277.41,276.06,1256100
8/8/2024,279.12,281.8,276.46,278.62,277.26,1573400
7/8/2024,289,289,277.06,278.13,276.77,1791000
6/8/2024,28480,28970,28257,28573,28434,1424500
5/8/2024,284.61,289.18,279.6,283.09,281.71,2684000
2/8/2024,292.98,294.54,287.73,292.3,290.87,2252700
1/8/2024,303.22,305.87,296.29,297.83,296.38,1532600
31/7/2024,301.05,305.61,300.88,302.25,300.78,947400
30/7/2024,299.96,303,299.31,300.88,299.41,1038500
29/7/2024,300.32,301.97,298.06,299.23,297.77,864900
26/7/2024,299.85,302.18,297.47,300.14,298.68,1200800
25/7/2024,298.29,303.29,298.01,298.59,297.13,1262600
24/7/2024,300.81,300.81,296.58,298.28,296.83,1541100
23/7/2024,299,304.09,297.75,300.8,299.33,2268400
22/7/2024,307,307.74,301.4,307.43,305.93,1414200
19/7/2024,306.62,308.73,304.02,306.31,304.82,1294600
18/7/2024,308.98,313.16,305.64,306.62,305.13,1603000
17/7/2024,310.43,313.67,308.1,310.43,308.92,1588100
16/7/2024,305.84,313.84,305.77,313.52,311.99,2812600
15/7/2024,300.46,305.59,299.06,305.02,303.53,2068700
12/7/2024,298.56,301.01,297.68,299.02,297.56,1445700
11/7/2024,294.99,300.94,294.68,299.54,298.08,1860000
10/7/2024,292.73,293.66,289.46,293.27,291.84,1466600
9/7/2024,296,296.84,292.52,292.73,291.3,1252100
8/7/2024,294.51,297.89,293.62,295.53,294.09,1533000
5/7/2024,293.71,294.97,292.07,294,292.57,1480200
3/7/2024,299.24,299.5,292.65,293.71,292.28,1274300
2/7/2024,296.49,301.21,296.49,298.22,296.77,1834400
1/7/2024,298.12,301.28,297.21,298.68,297.22,2469100
28/6/2024,293.9,302.41,293.44,299.84,298.38,4278900
27/6/2024,293.12,295.85,288.41,295.47,294.03,3989200
26/6/2024,288.43,296.86,284,296.19,294.75,11126100
25/6/2024,256.15,256.8,252.6,256.38,255.13,6313700
24/6/2024,253.98,257.31,253.14,256.51,255.26,1897200
21/6/2024,252.98,255.89,251.61,253.66,251.05,3145200
20/6/2024,248.76,253.35,248.47,252.52,249.92,1488600
18/6/2024,250.2,252.41,247.6,248.09,245.54,1506100
17/6/2024,245.54,250.47,244.85,250.06,247.49,1252200
14/6/2024,246.55,247.91,242.92,246.43,243.89,1245800
13/6/2024,249.14,249.5,244.26,248.6,246.04,1015600
12/6/2024,253.38,254.3,248.13,248.6,246.04,1555900
11/6/2024,252.16,252.59,249.9,252.43,249.83,1176900
10/6/2024,247,254.21,245.92,253.72,251.11,1475300
7/6/2024,247.96,251.37,247.15,247.73,245.18,1281900
6/6/2024,248.05,251.29,247.31,250.27,247.69,1171200
5/6/2024,247.9,248.34,244.47,248.05,245.5,930200
4/6/2024,248,248.33,244.26,245.95,243.42,1253600
3/6/2024,253.38,253.99,246.71,248.62,246.06,1409800
31/5/2024,250,254.33,248.12,253.96,251.35,1746900
30/5/2024,246.15,249.7,245.51,249.58,247.01,1084300
29/5/2024,245.84,247.03,244.31,245.11,242.59,1108000
28/5/2024,247.2,249.43,246.71,248.04,245.49,1229800
24/5/2024,250,250.89,246.31,247.59,245.04,1096000
23/5/2024,251.55,252.15,246.9,249.29,246.72,1446500
22/5/2024,252,252.66,249.79,252.07,249.48,1766000
21/5/2024,254,254.8,250.93,252.33,249.73,1027200
20/5/2024,256.99,257.41,254.07,254.71,252.09,899400
17/5/2024,260.08,260.08,256.28,257.25,254.6,1419700
16/5/2024,258.56,260.99,257.41,258.78,256.12,1136300
15/5/2024,260,260.73,258.19,259.32,256.65,1145600
14/5/2024,267.22,267.63,258.35,259.04,256.37,2534000
